trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.021526600001379848,7.070095000002766,,,,,,,,,,
,,,,,,,,,,,,,,,7.087568900009501,9.718794500004151,,,,,,,,,,
1,,18.23,0,9.45,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,9.774879700009478,11.878648400001111,11.890072300011525,12.904005900010816,12.928864200002863,13.938892300007865,13.957982600011746,16.960268599999836,,
2,,53.27,0,35.16,0,v,35.16,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,16.97638440001174,17.57151110000268,17.575857100004214,18.580055400001584,18.593470900013926,19.595048800008954,19.610701200013864,23.116696500001126,,
3,,8.27,0,1.15,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,23.129041300009703,24.07415130001027,24.078983000013977,25.08221130000311,25.09668520001287,26.09924680000404,26.113648300000932,29.116442400001688,,
,,,,,,,,,,,,,,,29.131990000008955,30.509293500013882,,,,,,,,,,
1,0,11.84,0,6.08,0,n,6.08,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,30.532617000004393,31.819117900013225,31.833048400003463,32.83811080000305,32.85220670000126,33.85546050000994,33.86760720000893,36.87132180000481,,
2,0,10.24,0,6.88,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,36.88578930000949,37.55126010000822,37.56937400001334,38.58071620001283,38.588421000007656,39.59955370001262,39.60369490001176,42.609495400000014,,
3,0,17.00,0,9.50,0,n,9.50,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,42.62194320000708,43.24396250001155,43.25515370001085,44.263347600004636,44.27274310000939,45.27758740000718,45.28956790000666,48.29697650000162,,
4,0,10.73,0,6.63,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,48.32496530000935,49.00426800000423,49.00784190000559,50.01906400000735,50.02694280000287,51.03748430000269,51.04253780000727,54.04770820001431,,
5,0,11.20,0,6.40,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,54.06073430000106,54.71969340000942,54.72732890000043,55.72792120001395,55.74488100000599,56.759866700012935,56.77882240001054,59.79040110000642,,
,,,,,,,,,,,,,,,,,,,,,,,,,105,1
,,,,,,,,,,,,,,,60.43056490000163,64.4444605000026,,,,,,,,,,
,,,,,,,,,,,,,,,64.44909140000527,66.62308280001162,,,,,,,,,,
1,0,19.88,0,1.23,0,n,1.23,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,66.65125300000363,67.64124860000447,67.65034080001351,68.66469570000481,68.68465650000144,69.69189130001178,69.70145590000902,72.7025003000017,,
2,0,9.62,0,5.52,1,v,9.62,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,72.71949260000838,73.28245330000937,73.28637320001144,74.2929879000003,74.30398580001201,75.31212450000749,75.32110620000458,78.32102870001108,,
3,0,1.37,0,3.35,1,n,1.37,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,78.33920590000344,79.22291720000794,79.23965020000469,80.25380900000164,80.27560220001033,81.28331090000574,81.29073980000976,84.29516610001156,,
4,0,15.77,0,8.87,1,v,15.77,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,84.3084380000073,85.09526530001312,85.10913910000818,86.10986250000133,86.1264891000028,87.1290743000136,87.14368830001331,90.14675980000175,,
5,0,14.65,0,8.83,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,90.16165100000217,90.92340780000086,90.92832240001007,91.93351170000096,91.94636570000148,92.94895490001363,92.96279440000944,95.97497130000556,,
,,,,,,,,,,,,,,,95.98084000000381,118.28926380000485,,,,,,,,,,
