trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.010069099997053854,2.1342157000035513,,,,,,,,,,
,,,,,,,,,,,,,,,2.140336500000558,3.219515999997384,,,,,,,,,,
1,,18.23,0,9.45,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,3.261194399994565,,7.277472300003865,8.291115300002275,8.310649399994873,9.322575999991386,9.327295900002355,12.336471499991603,,
2,,53.27,0,35.16,0,n,35.16,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,12.363133599996218,13.090783399995416,13.095756399998209,14.10463410000375,14.113413699989906,15.124590699997498,15.130399499990745,18.63533949998964,,
3,,8.27,0,1.15,0,v,1.15,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,18.6499882999924,19.324416499992367,19.332117500001914,20.342472499993164,20.34974140000122,21.362666999993962,21.36684299999615,24.372023099989747,,
,,,,,,,,,,,,,,,24.38546459999634,25.376642100003664,,,,,,,,,,
1,1,10.35,0,0.00,0,n,0.00,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,25.404566600002,27.5361058999988,27.552954099999624,28.55381219999981,28.570502699993085,29.57298919999448,29.589598799997475,33.10005259999889,,
2,0,11.84,0,6.08,0,v,6.08,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,33.12277200000244,33.85825439999462,33.872825799990096,34.88794719999714,34.9070126000006,35.91962709999643,35.923976099991705,39.43840559999808,,
3,0,18.33,0,8.84,1,n,18.33,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,39.459175199997844,41.621559599996544,41.62639150000177,42.64023360000283,42.665277799998876,43.67382529999304,43.677451600000495,47.18433560000267,,
4,0,17.94,0,9.03,0,v,9.03,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,47.196179399994435,48.63248240000394,48.64670070000284,49.65559389999544,49.66400599999179,50.670670199993765,50.681148899995605,54.18431359999522,,
5,1,0.00,0,10.25,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,54.19945659999212,56.31483920000028,56.33393939999223,57.340953799997806,57.35114220000105,58.35942199999408,58.36827510000148,61.87200849999499,,
,,,,,,,,,,,,,,,,,,,,,,,,,200,1
,,,,,,,,,,,,,,,62.503515399992466,66.50859329999366,,,,,,,,,,
,,,,,,,,,,,,,,,66.52217979999841,70.91815409999981,,,,,,,,,,
1,1,13.51,0,0.54,1,v,13.51,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,70.95784889999777,71.95821060000162,71.97475639999902,72.97634609999659,72.99209169999813,73.99561579999863,74.01113220000116,77.02196549999644,,
2,1,13.69,0,9.89,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,77.04403940000338,77.66773020000255,77.67726440000115,78.68728070000361,78.69467830000212,79.70650299999397,79.71196689999488,82.7268844999926,,
3,1,7.36,0,5.30,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,82.74867909999739,83.4957199999917,83.51375479999115,84.52635659999214,84.53099099999235,85.54361120000249,85.54792689999158,88.5517061999999,,
4,1,4.02,0,7.05,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,88.5661575999984,89.18812749999051,89.19975819998945,90.20353889999387,90.2171168999921,91.22374739999941,91.23430609999923,94.24902509999811,,
5,1,4.85,0,8.00,0,v,8.00,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,94.26918200000364,95.15083430000232,95.16956919999211,96.17190200000186,96.18652740000107,97.20116989999951,97.220573899991,100.22505919999094,,
,,,,,,,,,,,,,,,100.23886990000028,109.57293270000082,,,,,,,,,,
