trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,easy0difficult1,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.02093559999775607,1.9058912999898894,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.918840199999977,3.060126800002763,,,,,,,,,,
1,,18.23,0,9.45,,,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,3.0868335999984993,4.513599799989606,4.51965589998872,5.527726699991035,5.537186499990639,6.543535399992834,6.554325499993865,9.557766600002651,,
2,,53.27,0,35.16,,,1,v,53.27,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,9.572126400002162,10.131153900001664,10.138897099997848,11.147191399999429,11.160197899997002,12.16832899999281,12.173697999998694,15.685195400001248,,
3,,8.27,0,1.15,,,0,n,1.15,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,16.142238100001123,16.698384399991482,16.70955149999645,17.7143694999977,17.72650239999348,18.732651300000725,18.74359589999949,21.75026749999961,,
,,,,,,,,,,,,,,,,,21.761746099989978,22.681222799990792,,,,,,,,,,
1,0,11.43,0,6.29,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,22.712753999992856,25.65198369999416,25.66340289999789,26.66601109999465,26.83317129999341,27.84856349999609,27.864793999993708,30.87536239999463,,
2,0,17.28,0,9.36,,,0,n,9.36,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,30.899463599998853,31.327923999997438,31.332643100002315,32.34542499999225,32.35036539999419,33.364315799990436,33.38416210000287,36.89473869999347,,
3,0,11.20,0,6.40,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,36.919303499991656,37.291486000001896,37.55455950000032,38.56080310000107,38.5700366999954,39.57761729999038,39.58712939999532,43.09925189999922,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
,,,,,,,,,,,,,,,,,43.48895829998946,47.49154099999578,,,,,,,,,,
,,,,,,,,,,,,,,,,,47.50768359999347,49.40892129999702,,,,,,,,,,
1,,6.07,0,8.55,0.0088534197686094,0,0,n,8.55,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,49.45829779999622,50.69739159999881,50.709250100000645,51.717207199995755,51.72641059999296,52.736913300002925,52.74368879999383,56.244808799994644,,
2,,1.81,0,4.80,0.0025757601970072,0,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,56.2614551000006,57.02601979998872,57.04665789999126,58.04660439999134,58.062898499993025,59.06480219999503,59.07997729998897,62.090114099992206,,
3,,20.49,0,11.88,0.486974166969886,1,1,n,20.49,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,62.114908699993975,62.80537979998917,62.815093999990495,63.81507709999278,63.83237839999492,64.84571419999702,64.84951819998969,67.85150369998883,,
,,,,,,,,,,,,,,,,,67.86751869998989,69.83872509999492,,,,,,,,,,
,,,,,,,,,,,,,,,,,69.85152339999331,71.0983436999959,,,,,,,,,,
